[INFO ] 2024-02-13 09:38:50.546 [LCE.App.main(App.java:37)-main] App - [33m==========================================================[0m
[INFO ] 2024-02-13 09:38:50.548 [LCE.App.main(App.java:38)-main] App - [33m[status] App Initiated[0m
[TRACE] 2024-02-13 09:39:01.050 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 548 is removed
[TRACE] 2024-02-13 09:39:01.050 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 549 is removed
[TRACE] 2024-02-13 09:39:01.050 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 550 is removed
[TRACE] 2024-02-13 09:39:01.050 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 551 is removed
[TRACE] 2024-02-13 09:39:01.051 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 552 is removed
[TRACE] 2024-02-13 09:39:01.051 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 556 is removed
[TRACE] 2024-02-13 09:39:01.051 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 560 is removed
[TRACE] 2024-02-13 09:39:01.051 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 561 is removed
[TRACE] 2024-02-13 09:39:01.051 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 562 is removed
[TRACE] 2024-02-13 09:39:01.051 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 563 is removed
[TRACE] 2024-02-13 09:39:01.052 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 571 is removed
[TRACE] 2024-02-13 09:39:01.052 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 581 is removed
[TRACE] 2024-02-13 09:39:01.052 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 582 is removed
[TRACE] 2024-02-13 09:39:01.052 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 584 is removed
